大分類,中分類,小分類,細分類,該当例
,,有価証券売買・仲立人、金融仲立人,有価証券売買・仲立人,証券会社店頭係
,,,,証券外務員(内勤のもの)
,,,,累積投資窓口業務員
,,,金融仲立人,外国資金トレーダー(銀行)
,,,,株式トレーダー
,,,,為替ディーラー
,,,,債券トレーダー
,,質屋店主・店員,質屋店主・店員,質物鑑定人
,,,,質物管理人
,,,,質屋貸付係
,,,,質屋店員
,,,,質屋店主
,,,,宝石鑑定人(質屋)
,,その他の販売類似の職業,商品仲立人,青物仲買人
,,,,委託販売代理人
,,,,卸売市場仲卸人
,,,,会員権(券)販売員
,,,,海産物仲立人
,,,,花卉類仲買人
,,,,家畜売買仲立人
,,,,機械販売代理店主
,,,,果物仲買人
,,,,ゴルフ会員権販売員
,,,,商品委託販売人
,,,,中央卸売市場仲買人
,,,,仲介人(商品仲介業)
,,,,野菜仲買人
,,,宝くじ等販売人,お札売人(神社、仏閣)
,,,,場外投票券売場窓口係
,,,,宝くじ販売人
,,,,チケット販売人(プレイガイド等)
,,,,投票券販売員(オートレース場)
,,,,投票券販売員(競艇場)
,,,,投票券販売員(競輪場)
,,,,払戻窓口係員(競輪・競馬場、場外売場)
,,,,プレイガイドチケット販売員
,,,,窓口係(競輪場、競馬場、競艇場、オートレース場)
,,,競売人,卸売市場せり人
,,,,せり人(警察・裁判所差押品等競売)
,,,他に分類されない販売類似の職業,交換人(パチンコ景品交換所)
,,,,広告取次人
,,,,サービス取次人
,,,,商品券販売員
,,,,チケットショップ店員
,,,,両替業務員
,営業の職業,飲食料品販売営業員,飲食料品販売営業員,飲食料品営業部員
,,,,飲食料品ルート営業員
,,,,ルートセールス員(飲食料品)
,,,,冷凍食品営業員
,,化学品販売営業員(医薬品を除く),化学品販売営業員(医薬品を除く),化学品営業部員
,,,,化学品ルート営業員
,,,,ルートセールス員(化学品)
,,医薬品営業員,医薬品営業員,医薬情報担当者
,,,,営業員(医薬品卸売業)
,,,,MR
,,,,ルートセールス員(医薬品)
,,機械器具販売営業員,一般機械器具販売営業員,機械部品販売営業員
,,,,技術営業員(一般機械)
,,,,金属加工機械販売営業員
,,,,建設機械製造受注営業員
,,,,産業用機械製造受注営業員
,,,,生産用機械器具販売営業員
,,,,セールスエンジニア(一般機械)
,,,,半導体製造装置販売営業員
,,,電気機械器具販売営業員,医療用電子機器販売営業員
,,,,技術営業員(電気機器)
,,,,セールスエンジニア(電気機器)
,,,,電気器具卸営業員
,,,,電気計測器販売営業員
,,,,電子応用装置製造受注営業員
,,,,電子機器部品販売営業員
,,,,電子計算機販売営業員
,,,,パーソナルコンピュータ販売営業員
,,,,発送電用電気機械器具製造受注営業員
,,,,民生用電気機械器具販売営業員
,,,自動車販売営業員,自動車営業員
,,,,自動車セールス員
,,,,自動車販売員(外交販売を主とするもの)
,,,他に分類されない機械器具販売営業員,カメラ販売営業員
,,,,光学機器販売営業員
,,,,精密機械器具販売営業員
,,,,船舶製造受注営業員
,,,,鉄道車両製造受注営業員
,,,,時計販売営業員
,,通信・情報システム営業員,通信営業員,通信回線営業員
,,,,通信機器販売営業員
,,,情報システム営業員,ITセールス員
,,,,システム営業部員
,,,,システム開発営業員
,,,,ソフトウェア開発営業員
,,,,プリセールスエンジニア
,,金融・保険営業員,銀行等渉外係,外勤係(銀行)
,,,,共済勧誘員(農・漁業共済)
,,,,銀行外務員
,,,,銀行渉外係
,,,,銀行得意先係
,,,,消費者金融営業員
,,,,信販営業員
,,,,信用金庫渉外係
,,,,信用組合渉外係
,,,,貯蓄勧誘員
,,,,預金勧誘員
,,,証券営業員,証券外務員(外勤のもの)
,,,保険営業員,火災保険外交員
,,,,生命保険営業員
,,,,生命保険外交員
,,,,損害保険営業員
,,,,損害保険外交員
,,,,保険営業職員
,,,,保険外交員
,,,,保険外務員
,,不動産営業員,不動産営業員,営業外務員(不動産業)
,,,,営業部員(不動産業)
,,,,住宅展示場営業員
,,,,住宅販売営業員
,,,,住宅・不動産会社営業部員
,,,,住宅リフォーム営業員
,,,,宅地建物営業員
,,,,建売住宅営業員
,,,,中古マンション販売営業員
,,,,賃貸マンション営業員
,,,,テナント誘致員
,,,,用地仕入営業員
,,その他の営業の職業,旅行営業員,勧誘員(旅行斡旋業)
,,,,旅行斡旋営業員
,,,,旅行外交員
,,,広告営業員,アカウントエグゼクティブ(広告代理業)
,,,,アカウントマネージャー(広告業)
,,,,インターネット広告営業員
,,,,広告外交員
,,,,広告会社営業部員
,,,,広告勧誘員
,,,製造受注営業員,印刷営業員
,,,,印刷外交員
,,,,建設工事営業員
,,,,建設工事外交員
,,,,受注外交員(建設工事のもの)
,,,会員勧誘員,冠婚葬祭会員募集員
,,,,ゴルフ場会員募集員
,,,,スポーツクラブ会員募集員
,,,,リゾートクラブ会員募集員
,,,,レジャークラブ会員募集員
,,,新聞拡張員,新聞販売拡張員
,,,他に分類されない営業の職業,外務員(商品取引業)
,,,,結婚式場営業員
,,,,CG制作営業員
,,,,繊維卸商営業員
,,,,代理店営業員
,,,,中古車買取営業員
,,,,パッケージソフトウェア販売営業員
,,,,福祉用具営業員
,,,,霊園営業員
サービスの職業,家庭生活支援サービスの職業,家政婦(夫)、家事手伝,家政婦(夫)、家事手伝,お手伝い
,,,,介護アテンドサービス士
,,,,介護家政婦
,,,,家事使用人
,,,,家事代行員
,,,,家事手伝
,,,,家政婦(夫)
,,,,住込み家政婦
,,,,ハウスキーパー
,,,,ハウスメイド
,,,,バトラー
,,,,メイド
,,その他の家庭生活支援サービスの職業,ベビーシッター,チャイルドシッター
,,,,乳幼児シッター
,,,,乳幼児世話人(個人家庭)
,,,他に分類されない家庭生活支援サービスの職業,洗たく人(個人家庭)
,,,,料理人(個人家庭)
,介護サービスの職業,施設介護員,施設介護員,介護サービス員(老人保健施設)
,,,,介護職員(福祉施設)
,,,,介護福祉士(施設内の介護職員)
,,,,グループホーム介護員
,,,,ケアワーカー(医療施設、老人福祉施設)
,,,,社会福祉施設介護職員
,,,,社会福祉施設寮父
,,,,社会福祉施設寮母
,,,,障害者施設寮母
,,,,通所リハビリ介護員
,,,,デイサービスセンター介護員
,,,,福祉施設寮母・寮父
,,,,療育員(障害者施設)
,,,,寮父(社会福祉施設)
,,,,寮母(社会福祉施設)
,,,,寮母・寮父(特別養護老人ホーム)
,,,,寮母・寮夫(老人福祉施設)
,,,,老人福祉施設寮母
,,,,老人ホーム寮母
,,,,老人保健施設介護サービス員
,,訪問介護職,訪問介護員,介護サービス提供責任者
,,,,介護福祉士(訪問介護員)
,,,,在宅介護員
,,,,在宅ケアワーカー
,,,,訪問介護サービス員
,,,,ホームヘルパー
,,,訪問入浴介助員,介助員(訪問入浴)
,,,,在宅入浴介助員
,,,,在宅入浴サービス員
,,,,訪問入浴オペレーター
,,,,訪問入浴サービス員
,,,,訪問入浴ヘルパー
,保健医療サービスの職業,看護助手,看護助手,看護アシスタント
,,,,看護業務補助者
,,,,看護師補助員
,,,,看護ヘルパー
,,,,看護補助者
,,,,ナースエード(看護助手)
,,歯科助手,歯科助手,歯科アシスタント
,,,,歯科受付係(歯科助手)
,,,,歯科補助者
,,その他の保健医療サービスの職業,動物病院助手,アニマルヘルステクニシャン
,,,,AHT(動物看護師)
,,,,獣医看護助手
,,,,獣医看護人
,,,,獣医師助手
,,,,獣医補助者
,,,,診療助手(動物病院)
,,,,動物衛生看護師
,,,,動物看護師
,,,,動物病院アシスタント
,,,,動物病院看護師
,,,,動物病院看護補助者
,,,他に分類されない保健医療サービスの職業,眼科助手
,,,,検眼助手
,,,,検査助手(病院)
,,,,歯科技工士助手
,,,,実験助手(大学:医学部)
,,,,柔道整復師助手
,,,,助産師助手
,,,,整復師助手
,,,,調剤助手
,,,,病理衛生助手
,,,,物理助手(病院、療養所)
,,,,マッサージ助手
,,,,免疫治療研究助手
,,,,薬剤師助手
,,,,リハビリ助手
,,,,臨床検査補助員
,,,,レントゲン助手
,生活衛生サービスの職業,理容師,理容師,管理理容師
,,,,床屋
,,,,理髪師
,,美容師,美容師,アイリスト
,,,,髪結い
,,,,髪結師
,,,,管理美容師
,,,,スタイリスト(美容師)
,,,,ビューティーインストラクター
,,,,ヘアコンサルタント
,,,,ヘアスタイリスト
,,,,ヘアディレクター
,,,,ヘアメイクアーティスト
,,,,ヘアメイクデザイナー
,,,,メイクアップアーティスト
,,美容サービス職,着付師,衣裳係(映画制作)
,,,,衣裳係(結婚式場)
,,,,衣装着付係(結婚式場)
,,,,衣装着付師
,,,,着物着付師
,,,,きもの着付指導員
,,,,着物コンサルタント(和服着付)
,,,エステティシャン,美顔術師
,,,ネイリスト,ネイル・アーティスト
,,,,ペディキュア師
,,,,マニキュア師
,,,他に分類されない美容サービス職,かつら結髪師
,,,,かつら師
,,,,床山
,,,,床山見習
,,,,ヘアメイク係(美容師ではないもの)
,,,,メイクアップアーティスト(美容師ではないもの)
,,浴場従事人,浴場従事人,温泉浴場係員
,,,,温泉浴場従事人
,,,,温浴施設係員
,,,,サウナ支配人(主に浴場業務に従事するもの)
,,,,銭湯経営者(主に浴場業務に従事するもの)
,,,,銭湯番台
,,,,番台
,,,,ヘルスセンター浴場従事人
,,,,ボイラーマン(一般公衆浴場)
,,,,浴場主
,,,,浴場従事者
,,,,浴場清掃員
,,,,浴場番台
,,,,旅館浴場係員
,,,,ロビー係(サウナ風呂)
,,クリーニング職,クリーニング工,衣服除染工(汚染除去)
,,,,ウエットクリーニング工
,,,,貸おしぼり洗たく工
,,,,クリーニング師
,,,,クリーニング店主
,,,,しみ落し工(クリーニング業)
,,,,しみ落し工(染色整理業)
,,,,しみ抜き工
,,,,洗たく工
,,,,洗濯職
,,,,ドライクリーニング工
,,,,ドライクリーニング職
,,,,ドライ工(洗濯業)
,,,,ランドリー工
,,,,リネンサプライ業従事者(洗たくに従事するもの)
,,,クリーニング仕上工,アイロン工(洗濯業)
,,,,アイロン仕上工(クリーニング)
,,,,機械アイロン掛工(洗濯業)
,,,,クリーニングプレス工
,,,,仕上工(洗濯業)
,,,,洗たく整理工
,,,,洗たくプレス工
,,,,洗濯物仕上工
,,,,プレス工(洗濯業)
,,,,リネンサプライ業従事者(洗たくの仕上げに従事するもの)
,,,,ワイシャツ仕上工(クリーニング業)
,,その他の生活衛生サービスの職業,洗張職,洗張工
,,,,洗張染物職
,,,,仕上工(洗張)
,,,,糊扱職(洗張業)
,,,,湯通し工
,,,,湯のし工
,,,理容師・美容師補助者,美容師アシスタント
,,,,美容師補助者
,,,,理美容師補助
,,,,理容師アシスタント
,,,,理容師補助者
,飲食物調理の職業,調理人,日本料理調理人,板場
,,,,板前
,,,,うどん料理人
,,,,お好み焼き調理人
,,,,京料理調理人
,,,,皿鉢調理人
,,,,そば料理人
,,,,天ぷら揚げ職人(飲食店)
,,,,煮方(飲食店)
,,,,煮方(調理場)
,,,,ふぐ調理師
,,,,河豚(ふぐ)調理師
,,,,めん類調理人
,,,,盛方
,,,,盛り付け人(料理)
,,,,焼方(飲食店)
,,,,焼方(調理場)
,,,,和食調理人
,,,すし職人,すし職人(回転すし)
,,,,にぎりずし職人(飲食店)
,,,西洋料理調理人,アントルメティエ
,,,,イタリア料理調理人
,,,,ガルド・マンジェ
,,,,コック
,,,,シェフ
,,,,ソーシエ
,,,,パティシエ(飲食店)
,,,,ブッシェ
,,,,フランス料理調理人
,,,,プルニエ
,,,,フレンチ料理人
,,,,洋食調理人
,,,,料理ベーカリー係
,,,中華料理調理人,中華料理人
,,,,中国料理調理人
,,,,ラーメン調理人
,,,給食調理人,機内食製造工
,,,,給食係員
,,,,給食作業員
,,,,給食センター調理人
,,,,社員食堂調理人
,,,,調理人(介護施設)
,,,,調理人(機内食製造)
,,,,調理人(社宅)
,,,,調理人(病院)
,,,,賄
,,,,寮賄人
,,,調理補助者,キッチンヘルパー
,,,,コックヘルパー
,,,,調理アシスタント
,,,,調理助手
,,,,調理手伝人
,,,,料理学校講師助手(調理補助)
,,,,料理手伝人
,,,調理人見習,洗い方(追回し:調理見習のもの)
,,,,洗い場係(料理見習のもの)
,,,,追い回し(洗い方:料理見習のもの)
,,,,コック見習
,,,,皿洗い(調理見習)
,,,,すし職人(見習)
,,,,西洋料理調理人(見習)
,,,,中華料理調理人(見習)
,,,,調理見習
,,,,日本料理調理人(見習)
,,,,料理見習
,,,他に分類されない調理人,居酒屋調理人
,,,,エスニック料理調理人
,,,,おにぎり作り人(飲食店)
,,,,喫茶店調理人
,,,,漁船司厨員
,,,,漁労船司ちゅう員
,,,,きりたんぽ製造工(飲食店)
,,,,司厨員(船舶)
,,,,出張料理調理人
,,,,鮮魚調理師(鮮魚小売店)
,,,,船舶司厨員
,,,,船舶料理士
,,,,大衆食堂調理人
,,,,多国籍料理調理人
,,,,ファミリーレストラン調理人
,,,,弁当製造人(弁当仕出屋)
,,,,弁当製造人(持ち帰り用)
,,,,持ち帰り弁当調理人
,,,,列車料理人
,,バーテンダー,バーテンダー,バーテン
,,,,バーテンダー見習
,接客・給仕の職業,飲食店主・店長,レストラン店長,食堂支配人(主に接客の仕事に従事するもの)
,,,,食堂主人(主に接客の仕事に従事するもの)
,,,,ファミリーレストラン店長(主に接客の仕事に従事するもの)
,,,,レストラン支配人(主に接客の仕事に従事するもの)
,,,,レストラン店長(主に接客の仕事に従事するもの)
,,,,レストランマネージャー(主に接客の仕事に従事するもの)
,,,他に分類されない飲食店主・店長,居酒屋主人
,,,,居酒屋店長(主に接客の仕事に従事するもの)
,,,,飲食店支配人(主に接客の仕事に従事するもの)
,,,,飲食店主(主に接客の仕事に従事するもの)
,,,,飲食店マネージャー(主に接客の仕事に従事するもの)
,,,,お好み焼店主
,,,,おでん屋店主
,,,,カフェ店主
,,,,喫茶店支配人
,,,,喫茶店主
,,,,軽飲食店主
,,,,酒場支配人
,,,,鮨(すし)店主
,,,,スナック店主
,,,,そば屋店主
,,,,中華料理店主
,,,,ナイトクラブ支配人
,,,,バーマダム
,,,,ハンバーガーショップ店長(主に接客の仕事に従事するもの)
,,,,ハンバーガー店マネージャー(主に接客の仕事に従事するもの)
,,,,マダム(酒場)
,,,,ママ(スナック)
,,,,めん類店主
,,,,料理飲食店主
,,,,料理店主
,,旅館・ホテル支配人,旅館・ホテル支配人,女将(旅館)
,,,,割烹旅館主
,,,,簡易宿泊所主人
,,,,管理人(旅館:雇用者)
,,,,国民宿舎支配人
,,,,支配人(旅館、ホテル)
,,,,番頭(旅館)
,,,,船宿主人
,,,,ペンション経営者(主に接客の仕事に従事するもの)
,,,,ホテル支配人(主に接客の仕事に従事するもの)
,,,,保養所管理人
,,,,待合主人
,,,,山小屋管理人
,,,,ユースホステル管理人
,,,,ユースホステルペアレント
,,,,旅館管理人(雇用者)
,,,,旅館支配人(主に接客の仕事に従事するもの)
,,,,旅館主(主に接客の仕事に従事するもの)
,,,,旅館主・支配人
,,,,旅館主人
,,飲食物給仕係,配ぜん人,ウエイター(宴会場)
,,,,ウエイトレス(宴会場)
,,,,宴会サービス係(接客・給仕)
,,,,コンパニオン(給仕人)
,,,,サービスクリエイター(配ぜん人)
,,,,配ぜん係
,,,,バンケットコンパニオン
,,,,バンケットホステス
,,,ウエイター・ウエイトレス(飲食店ホール係),飲食店員
,,,,飲食店給仕
,,,,ウエイター(飲食店ホール係)
,,,,ウエイトレス(飲食店ホール係)
,,,,カウンター係(レストラン)
,,,,カフェウェイトレス
,,,,喫茶店ウェイトレス
,,,,ギャルソン
,,,,コミ・ド・ラン
,,,,酒場店員
,,,,シェフドラン
,,,,食堂給仕
,,,,船舶給仕
,,,,デシャップ
,,,,花番(麺類食堂店員)
,,,,ビヤホール店員
,,,,フロア係(飲食店)
,,,,フロアスタッフ(飲食店)
,,,,ホール係(飲食店)
,,,,ホールスタッフ(飲食店)
,,,,料飲サービス係(飲食店)
,,,,レストラン給仕
,,,,レストランサービス係
,,,ソムリエ,ソムリエール
,,,,ワイン・ソムリエ
,,旅館・ホテル・乗物接客員,旅館・ホテルフロント係,カウンター事務員(ホテル)
,,,,ナイトフロント係(旅館、ホテル)
,,,,フロント係(旅館、ホテル)
,,,,ホテルフロント係
,,,,予約係(ホテル)
,,,,予約係(旅館)
,,,,旅館フロント係
,,,旅館・ホテル接客係,アッシャー
,,,,応接員(宿泊施設)
,,,,コンシェルジュ(ホテル)
,,,,サービス係(旅館)
,,,,宿泊者サービス人
,,,,接客係(ホテル)
,,,,接客係(旅館)
,,,,ドアボーイ
,,,,ドアマン
,,,,フロアキャプテン
,,,,ページ
,,,,ページボーイ
,,,,ベルガール
,,,,ベルキャプテン
,,,,ベルパーソン
,,,,ベルボーイ
,,,,ベルマン
,,,,ホテル案内係
,,,,ホテルサービス係
,,,,ホテル接客係
,,,,旅館案内係
,,,,旅館客引
,,,,旅館サービス係
,,,,旅館接客係
,,,,ロビーアテンダント
,,,旅館・ホテル客室係,客室係(ホテル)
,,,,客室係(旅館)
,,,,客室パントリー係
,,,,チェンバーメイド
,,,,仲居
,,,,ハウスキーパー(客室係)
,,,,ベッドメーク係
,,,,ホテル客室係
,,,,メイド(ホテル)
,,,,旅館客室係
,,,,旅館接客係(仲居、客室係)
,,,,ルームアテンダント(ホテル)
,,,,ルーム係
,,,,ルームキーパー
,,,,ルームメイク係(ホテル)
,,,,ルームメイド
,,,乗物客室係,客室乗務員(旅客船)
,,,,客室乗務員(旅客機)
,,,,キャビンアテンダント
,,,,航空客室乗務員
,,,,航空パーサー
,,,,スチュワーデス
,,,,スチュワード
,,,,船室係
,,,,船舶旅客係
,,,,乗物客室給仕人
,,,,パーサー
,,,,フライトアテンダント
,,接客社交係、芸者、ダンサー,接客社交係,カウンターホステス
,,,,カウンターレディ
,,,,コンパニオン(クラブ)
,,,,コンパニオン(バー)
,,,,サロンホステス
,,,,社交係(バー)
,,,,接客係(クラブ)
,,,,接客係(バー)
,,,,テーブル係(バー、クラブ)
,,,,ナイトクラブホステス
,,,,パーティーコンパニオン
,,,,バーホステス
,,,,バニーガール
,,,,フロアレディ(バー)
,,,,ホステス
,,,,ホスト
,,,芸者、ダンサー,芸妓
,,,,芸妓見習
,,,,芸者
,,,,太鼓持ち(幇間)
,,,,ダンサー(ステージダンサーを除く)
,,,,半玉(はんぎょく)
,,,,フロアダンサー
,,,,幇間(ほうかん)
,,,,舞妓
,,娯楽場等接客員,娯楽場等支配人,映画館支配人(主に接客の仕事に従事するもの)
,,,,ゲームセンター管理人(主に接客の仕事に従事するもの)
,,,,娯楽施設支配人
,,,,ゴルフ場支配人(主に接客の仕事に従事するもの)
,,,,席主(囲碁クラブ)
,,,,釣堀店主
,,,,パチンコ店支配人(主に接客の仕事に従事するもの)
,,,,バッティングセンター業主
,,,,ボウリング場支配人
,,,娯楽場等接客係,アテンダント(劇場)
,,,,アナウンサー(娯楽場等)
,,,,案内解説人(博物館)
,,,,案内人(映画館、劇場)
,,,,インフォメーション係(娯楽場)
,,,,映画館案内人
,,,,映画館出札員
,,,,映画館放送員
,,,,映画入場券販売員
,,,,カウンター係(娯楽場)
,,,,カウンター事務員(娯楽場)
,,,,カラオケボックス店員
,,,,競馬場整理人
,,,,景品交換係(パチンコ店)
,,,,ゲームセンター店員
,,,,劇場出札係
,,,,劇場接客案内人
,,,,公園料金徴収員
,,,,娯楽場改札係
,,,,娯楽場従事者
,,,,娯楽場出・改札係
,,,,娯楽場出札係
,,,,娯楽場放送係
,,,,サウナぶろ受付係
,,,,座席案内係(娯楽場)
,,,,出札係(遊園地)
,,,,乗車券発売人(遊園地)
,,,,場内整理人(競馬場)
,,,,場内取締員(競艇場)
,,,,場内放送人(娯楽場)
,,,,植物園案内係員
,,,,水族館切符販売員
,,,,相撲世話人
,,,,接客係(娯楽場)
,,,,ディスクジョッキー(娯楽場)
,,,,テーマパーク接客係
,,,,展示物説明員(博物館等)
,,,,動物園出札係
,,,,入場券売り人(神社、仏閣)
,,,,入場券販売係(娯楽場)
,,,,パチンコ店員
,,,,美術館整理員
,,,,ビリヤードカウンター係
,,,,フロント係(娯楽場)
,,,,フロント事務員(パチンコ店)
,,,,放送員(娯楽場等)
,,,,麻雀クラブ従事者
,,,,窓口事務員(競輪場、競馬場、競艇場)
,,,,もぎり(娯楽場)
,,,,野球場切符販売員
,,,,遊園地従業員
,,,娯楽場等遊戯施設係,アトラクション係(遊戯施設)
,,,,表回り(パチンコ店)
,,,,貸ボート係員(娯楽場)
,,,,貸遊具係
,,,,機械係(パチンコ店)
,,,,機械管理人(娯楽場)
,,,,ゲームセンター機械係
,,,,ゴーカート指導員
,,,,娯楽場貸遊具係
,,,,ジェットコースター操作人
,,,,児童遊戯場係員
,,,,昇降機運転係(遊園地)
,,,,乗物運転操作員(遊園地)
,,,,ホール係(パチンコ店)
,,,,メリーゴーランド操作人
,,,,モノレール運転士(遊園地など)
,,,,遊園地施設係
,,,,遊園地電車運転員
,,,,遊戯機械係
,,,,遊戯施設係
,,,,遊戯装置係
,,,,遊具オペレーター
,,,スポーツ施設係,受付事務員(スポーツ施設)
,,,,キャディマスター
,,,,クラブハウス係
,,,,ゴルフ場係員
,,,,ゴルフ場フロント係
,,,,スキー用具賃貸人(有料スキー施設)
,,,,スケート靴賃貸人(スケート場)
,,,,スタート係(ゴルフ場)
,,,,スポーツクラブ係員
,,,,スポーツ・クラブハウス係
,,,,スポーツセンター係員
,,,,スポーツ用具貸出係
,,,,球拾人(ゴルフ練習場)
,,,,テニスコート賃貸人
,,,,テニス場係員
,,,,ピンセッター係(ボウリング場)
,,,,フィットネスクラブ係員
,,,,プーラー係(射撃場)
,,,,フロント係(ゴルフ場)
,,,,放出機操作員(クレー射撃場)
,,,,ボウリング場受付係
,,,キャディ,カート係(ゴルフ場)
,,,,ハウスキャディ
,,その他の接客・給仕の職業,その他の接客・給仕の職業,案内係(百貨店)
,,,,コンシェルジュ(百貨店)
,,,,接客係(百貨店)
,,,,百貨店売場案内人
,,,,放送員(百貨店)
,居住施設・ビル等の管理の職業,マンション・アパート・下宿管理人,マンション・アパート・下宿管理人,アパート管理人
,,,,アパート経営貸付人
,,,,貸家差配人
,,,,下宿管理人
,,,,下宿屋主人
,,,,コンシェルジュ(マンション)
,,,,住宅施設管理人
,,,,住込管理人(マンション)
,,,,フロント係(マンション)
,,,,間貸人
,,,,マンション管理員
,,,,マンション管理人
,,,,老人福祉施設管理人
,,寄宿舎・寮管理人,寄宿舎・寮管理人,合宿所管理人
,,,,寄宿舎管理人
,,,,寄宿舎舎監(特別支援学校)
,,,,寄宿舎世話係
,,,,寄宿舎世話人
,,,,寄宿舎寮長
,,,,寄宿舎寮父
,,,,寄宿舎寮母
,,,,指導員(学校の寮・寄宿舎)
,,,,舎監
,,,,社宅管理人
,,,,宿舎管理人
,,,,女子寮母
,,,,住込管理人(寄宿舎・寮)
,,,,世帯寮管理人
,,,,独身寮管理人
,,,,養護学校寮母
,,,,寮監
,,,,寮管理人
,,ビル管理人,ビル管理人,貸店舗業主
,,,,住込管理人(ビル)
,,,,倉庫賃貸業主
,,,,建物施設管理人
,,,,ビル管理員
,,,,ビル経営貸付人
,,駐車場・駐輪場管理人,駐車場・駐輪場管理人,コイン駐車場管理人
,,,,自転車置場自転車整理人
,,,,駐車係(ホテル)
,,,,駐車場係
,,,,駐車場管理人
,,,,駐車場経営者(雇なし業主)
,,,,駐車場整理員
,,,,駐車場賃貸人
,,,,駐車場誘導員
,,,,駐車場料金徴収員
,,,,駐輪場管理人
,,,,パーキング管理人
,,,,パーキングメーター管理人
,,その他の居住施設・ビル等の管理の職業,別荘管理人,貸別荘管理人
,,,,別荘管理人(個人の別荘)
,,,他に分類されない居住施設・ビル等の管理の職業,貸会議室管理人
,,,,倶楽部管理人
,,,,公会堂管理人
,,,,公民館管理人
,,,,集会所管理人
,,,,スポーツ競技場管理人
,,,,スポーツセンター管理人
,,,,体育館管理人
,,,,託児所管理人
,,,,寺番(僧侶(番僧)を除く)
,,,,堂守
,,,,バンガロー管理人
,,,,ホール(会館)管理人
,,,,宮守
,その他のサービスの職業,添乗員、観光案内人,添乗員,ガイド(旅行会社)
,,,,現地係員(旅行会社)
,,,,ツアーエスコート
,,,,ツアーコンダクター
,,,,バス添乗員
,,,,旅行添乗員
,,,観光案内人,アルパインガイド
,,,,案内人(ガイド)
,,,,観光ガイド
,,,,観光通訳案内人
,,,,個人観光ガイド
,,,,通訳案内士
,,,,通訳案内人
,,,,通訳ガイド
,,,,登山案内人
,,,,登山ガイド
,,,,トラベルガイド
,,,,名所・旧跡案内人
,,,,旅行案内解説人
,,,,旅行案内人
,,,,旅行ガイド
,,,,旅行・観光案内人
,,,,旅行・観光ガイド
,,,,旅行遊覧案内人
,,,,旅行遊覧ガイド
,,物品一時預り人,物品一時預り人,クローク係
,,,,クロークルーム係
,,,,携帯品預り係
,,,,コインロッカー管理人
,,,,手荷物預かり人
,,,,手荷物一時預り人
,,,,ロッカー係(ゴルフ場)
,,物品賃貸人,物品賃貸人,貸衣しょう店主
,,,,貸衣装人
,,,,貸衣裳人(ウェディング衣裳)
,,,,貸植木業主
,,,,貸おしぼり業主
,,,,貸タオル業主
,,,,貸布団店主
,,,,貸ボート店主
,,,,貸本屋
,,,,業務用物品賃貸人(機械類)
,,,,グリーンコーディネーター(リース業)
,,,,自転車賃貸人
,,,,重機械賃貸人
,,,,諸道具貸人
,,,,スキー用具賃貸人(有料スキー施設を除く)
,,,,スケート靴賃貸人(娯楽場を除く)
,,,,賃貸人(各種物品)
,,,,配車係(レンタカー)
,,,,ビデオレンタル店員
,,,,ボート貸し人
,,,,モップ賃貸人
,,,,リネンサプライ業主
,,,,レンタカー営業所員
,,,,レンタカー従業員
,,,,レンタルショップ店員
,,広告宣伝人,広告宣伝員,アナウンサー(街頭広告宣伝員)
,,,,イベントコンパニオン
,,,,街頭広告宣伝放送員
,,,,街頭宣伝放送員
,,,,キャンペーンガール
,,,,キャンペーン宣伝員
,,,,コマーシャルモデル
,,,,住宅展示場案内係
,,,,ショールーム員
,,,,選挙運動員
,,,,宣伝員
,,,,宣伝カー乗車員
,,,,デモンストレーター(実演者:販売をともなわないもの)
,,,,ファッションモデル
,,,,普及員(宣伝放送業)
,,,,有線放送員(宣伝業)
,,,チラシ配布員,広告配り人
,,,,広告ビラ配達員
,,,,ビラ配り人
,,,,ポスティング人
,,葬儀師、火葬係,葬儀師,献茶婦
,,,,セレモニースタッフ(葬儀店員)
,,,,葬儀コーディネーター
,,,,葬儀作業者
,,,,葬儀司会者
,,,,葬儀セレモニー準備人
,,,,葬儀世話人
,,,,葬儀相談員
,,,,葬儀店員
,,,,葬祭飾付人
,,,,葬祭士
,,,,葬祭ディレクター
,,,,典礼員
,,,,湯灌師
,,,火葬係,火葬作業員
,,,,火葬場現業員
,,トリマー,トリマー,グルーマー
,,,,ドッグ・グルーマー
,,,,ペットトリマー
,,他に分類されないサービスの職業,ポーター,手回品運搬人
,,,,荷物運搬人
,,,,ロッカーバッグ運び人(ゴルフ場)
,,,学童保育指導員,学童指導員
,,,,児童厚生員(児童館)
,,,,児童指導員(児童館)
,,,カイロプラクティック・アロマセラピー等従事人,足裏マッサージ従事人
,,,,アロマセラピー従事人
,,,,アロマセラピスト
,,,,音楽療法士(ミュージックセラピスト)
,,,,カイロプラクター
,,,,カイロプラクティック従事人
,,,,スパセラピスト
,,,,整体術師
,,,,整体療術師(あんま・柔道整復師ではないもの)
,,,,タラソテラピスト
,,,,リフレクソロジスト
,,,,リラクゼーションサロン従事人
,,,,リラクゼーションセラピスト
,,,他に分類されないその他のサービスの職業,占い師
,,,,易者
,,,,エレベーター係
,,,,エレベーターガール
,,,,置屋主人
,,,,オフトーク通信員
,,,,介添役(結婚式場)
,,,,ガイドヘルパー
,,,,楽屋係
,,,,貸席主人
,,,,家政婦紹介所長
,,,,家政婦紹介人
